Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,70200.000000,70200.000000,70200.000000,70200.000000,68940.859375,0
2022-03-16,70200.000000,70500.000000,69700.000000,70400.000000,69137.265625,10175750
2022-03-17,70400.000000,70400.000000,70400.000000,70400.000000,69137.265625,0
2022-03-18,70600.000000,70900.000000,70200.000000,70700.000000,69431.890625,14410038
2022-03-21,70900.000000,71000.000000,69900.000000,69900.000000,68646.234375,11169002
2022-03-22,69900.000000,70500.000000,69900.000000,70300.000000,69039.062500,9402666
2022-03-23,70600.000000,71200.000000,70300.000000,70500.000000,69235.476563,12398025
2022-03-24,69600.000000,70300.000000,69600.000000,69800.000000,68548.031250,37943357
2022-03-25,70100.000000,70200.000000,69600.000000,69800.000000,68548.031250,12986010
2022-03-28,69500.000000,69900.000000,69200.000000,69700.000000,68449.820313,12619289
2022-03-29,70000.000000,70300.000000,69800.000000,70200.000000,68940.859375,13686208
2022-03-30,70300.000000,70500.000000,69800.000000,69900.000000,69001.078125,12670187
2022-03-31,69900.000000,70200.000000,69600.000000,69600.000000,68704.929688,12510366
2022-04-01,69500.000000,69500.000000,69000.000000,69100.000000,68211.359375,15916846
2022-04-04,68900.000000,69300.000000,68600.000000,69300.000000,68408.789063,11107905
2022-04-05,69400.000000,69600.000000,69100.000000,69200.000000,68310.070313,8467248
2022-04-06,68600.000000,68800.000000,68500.000000,68500.000000,67619.078125,15517308
2022-04-07,68500.000000,68500.000000,68000.000000,68000.000000,67125.507813,20683327
2022-04-08,68100.000000,68300.000000,67700.000000,67800.000000,66928.078125,15453191
2022-04-11,67800.000000,68100.000000,67400.000000,67900.000000,67026.796875,12263735
2022-04-12,67600.000000,67700.000000,67000.000000,67000.000000,66138.367188,13924389
2022-04-13,67300.000000,69000.000000,67200.000000,68700.000000,67816.500000,17378619
2022-04-14,68700.000000,68700.000000,67500.000000,67500.000000,66631.937500,16409494
2022-04-15,67200.000000,67300.000000,66500.000000,66600.000000,65743.515625,13176415
2022-04-18,66500.000000,67100.000000,66100.000000,66700.000000,65842.226563,10119203
2022-04-19,67100.000000,68000.000000,67000.000000,67300.000000,66434.507813,12959434
2022-04-20,67000.000000,67400.000000,66500.000000,67400.000000,66533.218750,16693293
2022-04-21,67600.000000,68300.000000,67500.000000,67700.000000,66829.367188,12847448
2022-04-22,67200.000000,67300.000000,66700.000000,67000.000000,66138.367188,11791478
2022-04-25,66500.000000,66700.000000,66300.000000,66300.000000,65447.367188,11016474
2022-04-26,66400.000000,66700.000000,66100.000000,66100.000000,65249.941406,12946923
2022-04-27,65400.000000,65500.000000,64900.000000,65000.000000,64164.089844,18122084
2022-04-28,65400.000000,65500.000000,64500.000000,64800.000000,63966.660156,16895527
2022-04-29,65100.000000,67600.000000,65000.000000,67400.000000,66533.218750,26190390
2022-05-02,66600.000000,67600.000000,66500.000000,67300.000000,66434.507813,14106184
2022-05-03,67400.000000,68400.000000,67300.000000,67500.000000,66631.937500,14168875
2022-05-04,68000.000000,68400.000000,67500.000000,67900.000000,67026.796875,11505248
2022-05-06,67000.000000,67100.000000,66500.000000,66500.000000,65644.796875,14356156
2022-05-10,65900.000000,66300.000000,65300.000000,65700.000000,64855.085938,17235605
2022-05-11,65500.000000,66300.000000,65200.000000,65700.000000,64855.085938,12330920
2022-05-12,65200.000000,65500.000000,64900.000000,64900.000000,64065.375000,16414188
2022-05-13,65300.000000,66700.000000,65200.000000,66500.000000,65644.796875,14551536
2022-05-16,67100.000000,67400.000000,66100.000000,66300.000000,65447.367188,11937555
2022-05-17,66600.000000,67900.000000,66600.000000,67600.000000,66730.648438,15680447
2022-05-18,68300.000000,68700.000000,67600.000000,68100.000000,67224.218750,16486319
2022-05-19,66500.000000,67600.000000,66500.000000,67500.000000,66631.937500,17073727
2022-05-20,67800.000000,68400.000000,67700.000000,68000.000000,67125.507813,12109671
2022-05-23,68800.000000,68800.000000,67600.000000,67900.000000,67026.796875,13684088
2022-05-24,67500.000000,67700.000000,66500.000000,66500.000000,65644.796875,15482576
2022-05-25,66700.000000,67100.000000,65900.000000,66400.000000,65546.078125,15150490
2022-05-26,66300.000000,67200.000000,65500.000000,65900.000000,65052.515625,15970890
2022-05-27,66700.000000,66900.000000,66200.000000,66500.000000,65644.796875,11405555
2022-05-30,67500.000000,67800.000000,66900.000000,67700.000000,66829.367188,14255484
2022-05-31,67500.000000,67500.000000,66700.000000,67400.000000,66533.218750,24365002
2022-06-02,66600.000000,67000.000000,66400.000000,66700.000000,65842.226563,14959443
2022-06-03,67200.000000,67300.000000,66800.000000,66800.000000,65940.937500,8222883
2022-06-07,66200.000000,66400.000000,65400.000000,65500.000000,64657.656250,19355755
2022-06-08,65400.000000,65700.000000,65300.000000,65300.000000,64460.230469,12483180
2022-06-09,65100.000000,65200.000000,64500.000000,65200.000000,64361.515625,25790725
2022-06-10,64000.000000,64400.000000,63800.000000,63800.000000,62979.519531,22193552
2022-06-13,62400.000000,62800.000000,62100.000000,62100.000000,61301.382813,22157816
2022-06-14,61200.000000,62200.000000,61100.000000,61900.000000,61103.953125,24606419
2022-06-15,61300.000000,61500.000000,60200.000000,60700.000000,59919.386719,26811224
