Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2018-04-24,51840,51860,50080,50460,44103.94922,15770300,44861.44922,45121.33203
2018-04-25,49220,50500,49220,50400,44051.51563,16614600,44506.01172,44953.51797
2018-04-26,50420,52160,50400,52140,45572.33594,18046550,44575.93359,44841.63984
2018-04-27,53380,53640,52440,53000,46324.01172,30310800,45315.95443,45082.87656
2018-04-30,53000,53000,53000,53000,46324.01172,0,46073.45313,45275.16484
2018-05-02,53000,53000,53000,53000,46324.01172,0,46324.01172,45719.17734
2018-05-03,53000,53000,53000,53000,46324.01172,0,46324.01172,46173.67656
2018-05-04,53000,53900,51800,51900,45362.57031,39565391,46003.53125,46131.72344
2018-05-08,52600,53200,51900,52600,45974.39063,23104720,45886.99089,46061.79922
2018-05-09,52600,52800,50900,50900,44488.52344,16128305,45275.16146,45694.70156
2018-05-10,51700,51700,50600,51600,45100.36328,13905263,45187.75911,45449.97188
2018-05-11,52000,52200,51200,51300,44838.14453,10314997,44809.01042,45152.79844
2018-05-14,51000,51100,49900,50100,43789.30469,14909272,44575.9375,44838.14531
2018-05-15,50200,50400,49100,49200,43002.66406,18709146,43876.70443,44243.8
2018-05-16,49200,50200,49150,49850,43570.77734,15918683,43454.2487,44060.25078
2018-05-17,50300,50500,49400,49400,43177.46875,10365440,43250.30339,43675.67188
2018-05-18,49900,49900,49350,49500,43264.87891,6706570,43337.70833,43361.01875
2018-05-21,49650,50200,49100,50000,43701.89844,9020998,43381.41536,43343.5375
2018-05-23,50600,52000,50400,51800,45275.15625,17095490,44080.64453,43798.03594
2018-05-24,52000,52000,51100,51400,44925.55078,8289275,44634.20182,44068.99062
2018-05-25,51000,52800,50800,52700,46061.80078,15207266,45420.83594,44645.85703
2018-05-28,52500,53000,52000,52300,45712.17969,9787820,45566.51042,45135.31719
2018-05-29,52200,52500,51300,51300,44838.14453,8480437,45537.375,45362.56641
2018-05-30,51300,51500,49100,49500,43264.87891,20498098,44605.06771,44960.51094
2018-05-31,50400,50800,49850,50700,44313.71875,63491109,44138.91406,44838.14453
2018-06-01,50500,51700,49950,51300,44838.14453,13038499,44138.91406,44593.41328
2018-06-04,50800,51200,50700,51100,44663.33984,9767171,44605.06771,44383.64531
2018-06-05,51100,51400,50400,51300,44838.14453,9144100,44779.8763,44383.64531
2018-06-07,51800,51800,50500,50600,44226.31641,13590016,44575.93359,44575.93281
2018-06-08,50200,50400,49600,49650,43395.98047,16951706,44153.48047,44392.38516
2018-06-11,49750,50300,49350,49900,43614.48047,10571312,43745.59245,44147.65234
2018-06-12,49700,49800,49250,49400,43177.46875,12110569,43395.97656,43850.47813
2018-06-14,49000,49000,48200,48200,42128.63281,20971729,42973.52734,43308.57578
2018-06-15,48500,48700,47650,47650,41647.91016,17080892,42318.00391,42792.89453
2018-06-18,47600,47650,46200,46600,40730.16797,16661870,41502.23698,42259.73203
2018-06-19,47200,47350,46500,47000,41079.78125,15217971,41152.61979,41752.79219
2018-06-20,47450,47600,46850,47000,41079.78125,12959316,40963.24349,41333.25469
2018-06-21,47900,47900,47050,47050,41123.48047,10015541,41094.34766,41132.22422
2018-06-22,47000,47250,46200,47250,41298.29297,10298006,41167.1849,41062.30078
2018-06-25,47050,47050,46150,46650,40773.86328,10587711,41065.21224,41071.03984
2018-06-26,45900,47300,45900,47000,41079.78125,11223166,41050.64583,41071.03984
2018-06-27,47450,48500,47000,47950,41910.11719,15274752,41254.58724,41237.10703
2018-06-28,46850,47150,46600,46800,41209.21484,12784800,41399.70443,41254.25391
2018-06-29,46250,47150,46200,46650,41077.13672,14099635,41398.82292,41210.02266
2018-07-02,46500,47150,45500,45550,40108.53906,13112253,40798.29688,41076.95781
2018-07-03,45750,46450,45750,46150,40636.85547,10959655,40607.51042,40988.37266
2018-07-04,46700,47050,46050,46250,40724.91406,8776763,40490.10287,40751.33203
2018-07-05,46100,46550,45600,45950,40460.75,7039773,40607.50651,40601.63906
2018-07-06,45500,45850,44650,44900,39536.17969,17843706,40240.61458,40293.44766
2018-07-09,45500,46100,45200,45600,40152.55859,11602464,40049.82943,40302.25156
2018-07-10,46200,46550,46100,46300,40768.9375,10528665,40152.55859,40328.66797
2018-07-11,46400,46450,45400,46000,40504.76953,11224077,40475.42188,40284.63906
2018-07-12,45900,46250,45450,45500,40064.51172,11828104,40446.07292,40205.39141
2018-07-13,45800,46500,45750,46500,40945.04297,11543389,40504.77474,40487.16406
2018-07-16,46800,46800,46000,46050,40548.80469,7678719,40519.45313,40566.41328
2018-07-17,46150,46200,45600,45850,40372.69141,8892953,40622.17969,40487.16406
2018-07-18,46700,47200,46450,46550,40989.07031,10952645,40636.85547,40584.02422
2018-07-19,47050,47200,46600,46900,41297.26172,9880128,40886.34115,40830.57422
2018-07-20,47000,47600,46700,47450,41781.5625,10474547,41355.96484,40997.87813
2018-07-23,47100,47200,46150,46500,40945.04297,10823782,41341.28906,41077.12578
2018-07-24,46350,46600,45950,46150,40636.85547,8261363,41121.15365,41129.95859
2018-07-25,46250,46550,45900,46150,40636.85547,7222471,40739.58464,41059.51563
2018-07-26,46100,47000,46000,46900,41297.26172,7374946,40856.99089,41059.51563
2018-07-27,46450,47000,46450,46900,41297.26172,4762460,41077.1263,40962.65547
2018-07-30,46550,46800,46350,46500,40945.04297,5723035,41179.85547,40962.65547
2018-07-31,46200,46450,46000,46250,40724.91406,8033607,40989.07292,40980.26719
2018-08-01,46050,46850,46050,46550,40989.07031,7484499,40886.34245,41050.71016
2018-08-02,46550,46800,45500,45550,40108.53906,8560924,40607.50781,40812.96563
2018-08-03,45850,45900,45450,45750,40284.63672,8274944,40460.7487,40610.44063
2018-08-06,46150,46150,45750,45800,40328.66797,6771979,40240.61458,40487.16563
2018-08-07,46300,46750,45900,46700,41121.14844,9058174,40578.15104,40566.4125
2018-08-08,47000,47000,46550,46800,41209.21484,6429338,40886.34375,40610.44141
2018-08-09,47000,47050,46450,46900,41297.26172,12010886,41209.20833,40848.18594
2018-08-10,46150,46400,44850,45400,39976.45703,16670643,40827.64453,40786.55
2018-08-13,44950,45100,44650,45050,39668.26953,9803831,40313.99609,40654.47031
2018-08-14,44850,45400,44850,45150,39756.31641,6409259,39800.34766,40381.50391
2018-08-16,43800,44650,43700,44250,38963.83203,10088229,39462.80599,39932.42734
2018-08-17,44050,44400,44050,44100,38831.75391,6808747,39183.96745,39439.32578
2018-08-20,43500,44200,43500,43850,38611.61328,7289124,38802.39974,39166.35703
2018-08-21,43700,44900,43700,44800,39448.125,9520270,38963.83073,39122.32812
2018-08-22,45150,46200,44900,46100,40592.83594,11641656,39550.85807,39289.63203
2018-08-23,46150,46200,45700,46200,40680.88281,6730918,40240.61458,39633.04219
2018-08-24,45900,46400,45550,46150,40636.85547,6582535,40636.85807,39994.0625
2018-08-27,46100,46550,46000,46300,40768.9375,5263782,40695.55859,40425.52734
2018-08-28,46800,46950,46300,46550,40989.07031,7365976,40798.28776,40733.71641
2018-08-29,46750,46800,46400,46800,41209.21484,5572374,40989.07422,40856.99219
2018-08-30,46950,47950,46700,47650,41957.67188,12193231,41385.31901,41112.35
2018-08-31,47100,48450,47000,48450,42662.09375,13577454,41942.99349,41517.39766
2018-09-03,48200,48300,47300,47450,41781.5625,8595084,42133.77604,41719.92266
